✓,Data,Time(min),Materia,Assunto,Tarefa,Material,Descr
TRUE,2/16/2020 18:50:59,25,Economia,Macroeconomia,Revisão,PE 05 (SEFAZ-DF),
TRUE,2/17/2020 10:09:26,25,Direito Financeiro,Lei de Responsabilidade Fiscal,Revisão,PE 16 (SEFAZ-DF),
TRUE,2/17/2020 10:57:11,30,Contabilidade,DRE,Questões,Aula 09 (SEFAZ-SP),
TRUE,2/17/2020 11:53:40,10,,,Memo,,
TRUE,2/17/2020 15:30:56,25,Contabilidade,DLPA e DMPL,Questões,PE 10 (SEFAZ-DF) | Aula 10 (SEFAZ-SP),
TRUE,2/17/2020 16:16:40,32,Administração Financeira e Orçamentária,,Leitura,Aula 05 (TCDF),
TRUE,2/17/2020 17:00:09,30,Administração Financeira e Orçamentária,,Questões,Aula 05 (TCDF),
TRUE,2/17/2020 17:50:43,25,Português,Geral CESPE,Questões,TEC,
TRUE,2/17/2020 18:35:06,25,Raciocínio Lógico,Geral CESPE,Questões,TEC,
TRUE,2/18/2020 8:44:28,25,Direito Constitucional,CF/88,Lei Seca,,
TRUE,2/18/2020 10:26:54,25,Auditoria,NBC TA 300 (Planejamento de Auditoria),Lei Seca,,
TRUE,2/18/2020 11:03:10,25,Direito Administrativo,Lei 8.112,Lei Seca,,
TRUE,2/18/2020 12:11:27,30,,,Memo,,
TRUE,2/18/2020 12:32:49,13,,,Memo,,
TRUE,2/18/2020 16:15:06,29,Contabilidade de Custos,Geral,Questões,TEC,
TRUE,2/18/2020 16:34:49,11,Português,"Classe de Palavras, formação, estrutura das palavras",Questões,PE 02 (SEFAZ-DF),
TRUE,2/18/2020 17:09:56,25,Direito Constitucional,Administração Pública,Revisão,Aula 06 (RFB20),
TRUE,2/18/2020 17:49:26,25,Direito Financeiro,Créditos Adicionais,Revisão,PE 03 | Aula 02 (SEFAZ-DF),
TRUE,2/18/2020 18:27:54,25,Contabilidade,Geral CESPE,Questões,TEC,
TRUE,2/18/2020 18:55:20,25,AFOCP,Geral Fácil CESPE,Questões,TEC,
TRUE,2/18/2020 19:33:53,13,,,Memo,,
TRUE,2/19/2020 10:52:32,30,Direito Administrativo,Regime diferenciado de contratações: ME e EPPs,Questões,Aula 10 (RFB20),
TRUE,2/20/2020 8:57:05,30,Direito Administrativo,Regime diferenciado de contratações: ME e EPPs,Questões,Aula 10 (RFB20),
TRUE,2/20/2020 12:31:23,13,Direito Administrativo,Regime diferenciado de contratações: ME e EPPs,Questões,Aula 10 (RFB20),
TRUE,2/20/2020 13:10:30,25,Economia,Geral Fácil CESPE,Questões,TEC,
TRUE,2/20/2020 13:44:20,25,Contabilidade,DFC,Questões,PE 09 (SEFAZ-DF) | Aula 12 (SEFAZ-SP),
TRUE,2/20/2020 15:54:35,25,Direito Administrativo,RDC: Regime diferenciado de contratações,Revisão,Aula 10 (RFB20),
TRUE,2/20/2020 16:14:46,13,Economia,Elasticidades,Revisão,PE 01 (SEFAZ-DF),
TRUE,2/20/2020 17:04:46,30,Direito Civil,Pessoa natural,Leitura,Aula 01 (TCDF),
TRUE,2/20/2020 17:20:53,10,Direito Civil,Pessoa natural,Leitura,Aula 01 (TCDF),
TRUE,2/20/2020 17:47:00,25,Direito Civil,Pessoa natural,Questões,Aula 01 (TCDF),
TRUE,2/20/2020 18:29:16,30,,,Memo,,
TRUE,2/21/2020 8:17:49,25,Direito Administrativo,Poderes da Adm Pública,Questões,"PE 04 (SEFAZ-DF), Aula 05 (RFB19)",
TRUE,2/21/2020 9:11:17,25,Auditoria Governamental,Normas do TCU,Questões,PE 01 (TCDF),
TRUE,2/21/2020 11:10:25,26,Administração Financeira e Orçamentária,Dívida Ativa,Leitura,Aula 05II (TCDF),
TRUE,2/21/2020 11:37:12,26,Administração Financeira e Orçamentária,,Questões,Aula 05II (TCDF),
TRUE,2/21/2020 12:30:12,30,,,Memo,,
TRUE,2/22/2020 7:45:55,25,Direito Administrativo,Geral,Questões,TEC,
TRUE,2/22/2020 8:28:12,25,Direito Financeiro,Progressivo,Questões,PE 04 (SEFAZ-DF),
TRUE,2/22/2020 9:09:42,25,Auditoria Governamental,Conceitos,Revisão,PE 00 (TCDF),
TRUE,2/22/2020 9:47:25,25,Economia,"Microeconomia, Oferta, Demanda",Revisão,"PE 00 (SEFAZ-DF), Aula 00 (TCDF)",
TRUE,2/22/2020 11:14:08,25,Auditoria,NBC TA 500 (Evidência de Auditoria),Lei Seca,,
TRUE,2/22/2020 15:11:38,25,Direito Administrativo,Lei 9.784 Processo Administrativo,Lei Seca,,
TRUE,2/22/2020 16:29:57,25,AFOCP,Geral Fácil CESPE,Questões,TEC,
TRUE,2/22/2020 17:16:11,25,Direito Tributário,Geral,Questões,TEC,
TRUE,2/22/2020 18:40:39,25,Guia Auditor de Controle Externo TCDF,Geral,Questões,Guia TEC,
TRUE,2/22/2020 22:45:51,30,,,Memo,,
TRUE,2/23/2020 8:36:00,30,Economia,"Macroeconomia;
Contas Nacionais",Leitura,Aula 04 (TCDFpre),
TRUE,2/23/2020 9:07:39,22,Economia,"Macroeconomia;
Contas Nacionais",Leitura,Aula 04 (TCDFpre),
TRUE,2/23/2020 9:40:41,30,Economia,"Macroeconomia;
Contas Nacionais",Questões,Aula 04 (TCDFpre),
TRUE,2/23/2020 11:09:16,25,Direito Civil,LINDB,Revisão,Aula 00 (RFB20) | PE 00 (TCDF),
TRUE,2/23/2020 12:12:13,25,Direito Constitucional,Funções Essenciais à Justiça,Revisão,Aula 12 (TCDF),
TRUE,2/23/2020 12:50:26,30,,,Memo,,
TRUE,2/23/2020 16:10:43,25,Contabilidade,DVA,Questões, Aula 13 (TCDF),
